,artist,track,album,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,stream,ln_stream
1833,Tiago PZK,10,8,0.6975000000000001,0.6298999999999999,5.9,-4.605099999999999,0.08091000000000001,0.3624,0.003211939999999999,0.15204999999999996,0.6996,113.90769999999998,3.1639833333333334,144076325.2,18.785853753231862
1834,Tiakola,10,5,0.6896000000000001,0.5690000000000001,6.8,-7.9412,0.11298000000000001,0.48480000000000006,1.9007e-05,0.12968,0.6094,121.58529999999999,3.0105683333333335,31445087.2,17.263753319051776
1835,Tim McGraw,10,8,0.5028,0.7133,6.1,-7.0577999999999985,0.03358,0.25776000000000004,5.218e-06,0.21688000000000002,0.5865,137.904,3.789243333333333,121796296.9,18.61786050965802
1836,Timbaland,9,3,0.6662222222222223,0.7263333333333333,7.333333333333333,-5.555666666666666,0.10191111111111112,0.12304555555555557,0.08713833333333333,0.23065555555555559,0.5293222222222222,113.90988888888887,3.699112962962963,161856374.2222222,18.90221992107799
1837,Timbiriche,10,4,0.7261,0.6809000000000001,4.2,-10.5351,0.05336,0.2691,0.00030373,0.15606,0.7629999999999999,116.0808,3.5016466666666672,50698831.4,17.741413418986106
1838,Timmy Trumpet,9,9,0.5722222222222222,0.8854444444444444,5.333333333333333,-4.280555555555555,0.10593333333333332,0.07027,0.12750323333333335,0.15226666666666666,0.33933333333333326,124.07477777777778,3.0710740740740743,42947885.88888889,17.575497982572795
1839,Tina Turner,9,6,0.6612222222222222,0.6735555555555555,3.6666666666666665,-7.571333333333333,0.057388888888888885,0.2134033333333333,0.0034554277777777776,0.16546666666666668,0.6487777777777779,108.88755555555556,4.386877777777779,140349143.7777778,18.759643760132093
1840,Tinashe,10,10,0.7495999999999999,0.6542,5.1,-6.1582,0.13992999999999997,0.116208,0.005019719999999999,0.10012000000000001,0.5271000000000001,109.72349999999999,3.3534333333333337,109731804.9,18.51354980938725
1841,Tion Wayne,9,9,0.7607777777777778,0.7327777777777778,8.222222222222221,-6.465555555555556,0.2718111111111111,0.22812222222222223,1.0244444444444444e-05,0.2958333333333333,0.7635555555555558,137.63033333333334,3.2745722222222224,83297380.8888889,18.237927664732666
1842,"Tito ""El Bambino""",9,8,0.7617777777777779,0.7112222222222222,6.333333333333333,-6.184222222222222,0.083,0.14427777777777778,2.9866666666666667e-06,0.1981111111111111,0.7123333333333334,105.9011111111111,3.46422037037037,59774052.333333336,17.906082217286432
1843,Tiziano Ferro,6,5,0.49183333333333334,0.6836666666666665,7.5,-4.8315,0.06774999999999999,0.43021666666666675,0.0,0.19616666666666668,0.3581666666666667,106.94450000000002,3.649519444444444,21342357.5,16.876204271025752
1844,Tiësto,10,10,0.7149,0.8053000000000001,6.0,-4.7426,0.1172,0.124762,0.051560801,0.23970000000000008,0.48334,122.8113,2.717965,313561758.1,19.563506894170466
1845,Toby Fox,8,2,0.57725,0.6876249999999999,6.25,-10.687124999999998,0.060700000000000004,0.28320825,0.809,0.1052625,0.70225,133.649,2.3211395833333333,42073925.375,17.554938757013847
1846,Toby Keith,10,7,0.6178999999999999,0.7715,5.3,-5.5337000000000005,0.044570000000000005,0.23181000000000002,0.000656856,0.15632,0.649,127.57860000000001,3.583443333333333,102291104.9,18.443333276017242
1847,TobyMac,10,4,0.6955,0.7314,6.8,-5.4252,0.06496,0.08892299999999999,2.4041999999999998e-05,0.22496,0.6088000000000001,118.05250000000001,3.719821666666667,25728427.3,17.06310705918734
1848,Tom Grennan,10,10,0.6167,0.7920999999999999,5.5,-3.8232,0.04114,0.1356467,0.000356,0.20656,0.5433000000000001,125.1297,3.2474216666666664,87217324.5,18.28391354460457
1849,Tom Jones,9,7,0.5556666666666668,0.6356666666666667,4.888888888888889,-9.439777777777778,0.07228888888888889,0.3690444444444445,0.00015504222222222224,0.1704,0.7087777777777777,121.18422222222222,3.1128888888888895,56162415.777777776,17.84375833274274
1850,Tom Morello,7,5,0.4740000000000001,0.8678571428571429,6.428571428571429,-4.046285714285714,0.0963142857142857,0.002705714285714286,0.004450691428571429,0.27677142857142856,0.4740000000000001,137.12085714285715,3.4371714285714283,7627850.285714285,15.847316618571488
1851,Tom Odell,9,5,0.5344444444444444,0.31588888888888894,4.666666666666667,-11.528444444444444,0.040299999999999996,0.7588444444444444,0.02979072222222222,0.1256,0.24377777777777776,114.56755555555554,3.005746296296296,210817409.8888889,19.166502960826882
1852,Tom Petty,8,2,0.608375,0.586375,7.0,-11.439,0.031549999999999995,0.13652062499999998,0.0216838325,0.178925,0.713,119.9845,3.8208062500000004,146424269.5,18.802018921025507
1853,Tom Petty and the Heartbreakers,8,5,0.60475,0.687,4.125,-7.957999999999999,0.03195,0.18938125,0.0012162375000000002,0.2182,0.8119999999999999,117.548125,3.6528583333333335,102539904.125,18.445762589318417
1854,Tom Rosenthal,5,4,0.5992,0.18994,5.6,-14.763399999999999,0.035519999999999996,0.9368000000000001,0.22457,0.11100000000000002,0.23154,129.12619999999998,2.629043333333333,51727244.8,17.761495179397535
1855,Tommee Profitt,9,7,0.5065555555555554,0.5214444444444445,4.666666666666667,-7.502555555555555,0.07648888888888888,0.35439999999999994,0.005521686666666668,0.1329888888888889,0.17473333333333332,114.11944444444445,3.635961111111111,61709631.44444445,17.937950577899645
1856,Toni Braxton,9,4,0.6948888888888889,0.6836666666666668,7.222222222222222,-6.220888888888889,0.05978888888888888,0.11630666666666668,2.398e-05,0.15885555555555556,0.6111111111111112,110.56622222222224,4.72859074074074,39346517.0,17.487918015568344
1857,Tony Aguirre,10,9,0.6551,0.7309000000000001,6.7,-4.2223999999999995,0.04734,0.4178,0.00035139199999999996,0.13656000000000001,0.7830999999999999,114.4727,3.528946666666667,12603145.7,16.34945699949231
1858,Tony Bennett,7,4,0.47687500000000005,0.334775,3.625,-10.948625,0.035225,0.8318749999999999,3.0837500000000004e-05,0.1378375,0.3993625,115.56250000000001,3.2040291666666665,50730694.625,17.74204170203734
1859,Tony Dize,4,3,0.7585000000000001,0.78975,7.25,-4.906,0.08707500000000001,0.16415,0.0,0.17802500000000002,0.6695,129.535,3.7761416666666667,139925089.25,18.756617760583193
1860,Too $hort,7,7,0.8381428571428573,0.5282857142857142,3.0,-7.950857142857144,0.19914285714285712,0.039209,0.0016845857142857143,0.19782857142857144,0.4982857142857143,108.9992857142857,4.3516047619047615,33973089.0,17.341079269178927
1861,Topic,10,10,0.7111999999999999,0.7434000000000001,8.5,-5.4123,0.07262999999999999,0.11299999999999999,3.873e-05,0.18851999999999997,0.5856,124.60830000000001,2.710538333333333,219322939.6,19.206055811656697
1862,Tory Lanez,10,8,0.6428,0.5922999999999999,6.4,-7.894800000000001,0.17025,0.17757,1.085e-05,0.17703000000000002,0.5026499999999999,112.98070000000003,3.5747499999999994,199789133.3,19.112773034811763
1863,Tove Lo,9,6,0.7289999999999999,0.7065555555555556,4.888888888888889,-6.063555555555555,0.059077777777777785,0.14073666666666668,0.03614900444444444,0.15226666666666666,0.31911111111111107,112.01988888888887,3.2970314814814814,228373140.7777778,19.24649143153583
1864,Tracy Chapman,8,3,0.6465,0.36518750000000005,4.75,-12.969374999999998,0.0401625,0.3970125,0.0014086787499999998,0.111425,0.46874999999999994,116.73037500000001,3.9506666666666668,166444859.5,18.93017463836032
1865,Traditional,6,6,0.49750000000000005,0.43916666666666665,4.5,-12.692666666666668,0.04858333333333333,0.6500500000000001,0.15581399999999998,0.11881666666666668,0.5631666666666667,133.21833333333333,3.1783833333333327,229923.16666666666,12.345500474124524
1866,Train,10,6,0.5579999999999999,0.7402000000000001,2.0,-4.6488,0.04178,0.13735540000000002,3.255599999999999e-05,0.16288999999999998,0.5898,106.57039999999999,3.859108333333334,320231227.2,19.584553877819197
1867,Travis Barker,10,10,0.5724,0.7216000000000001,5.9,-5.348299999999999,0.07927,0.0325824,0.00043910699999999994,0.18871,0.4516,125.9896,2.726561666666666,88828505.2,18.30221816095598
1868,Travis Scott,10,8,0.7001000000000001,0.5904999999999999,4.7,-6.542400000000001,0.16102999999999998,0.19000299999999998,0.0014492429999999998,0.19790000000000002,0.35475,117.4087,3.7644616666666666,637316966.1,20.272777681772315
1869,Travis Tritt,8,5,0.5964999999999999,0.6570000000000001,6.5,-7.126250000000001,0.030112500000000004,0.20653749999999998,9.233125e-05,0.2585,0.6443749999999999,119.43337499999998,3.520497916666667,57953406.375,17.875149907299445
1870,Trey Songz,10,7,0.7252,0.6087,6.9,-6.0167,0.07780000000000001,0.211443,4.765000000000001e-06,0.26092000000000004,0.3985,104.36680000000001,3.510655,165904986.2,18.92692581016411
1871,Tribo da Periferia,10,10,0.7753,0.4170999999999999,5.3,-10.2263,0.11989000000000001,0.48338000000000003,1.7230000000000003e-05,0.17667000000000002,0.3706,132.3965,3.419083333333334,40466068.6,17.515974368570173
1872,Trippie Redd,10,6,0.6785,0.6623,5.0,-4.6845,0.11617999999999999,0.107434,0.03940657499999999,0.36211,0.3577,132.23870000000002,2.9413116666666665,150064376.6,18.826574937323613
1873,Troye Sivan,10,9,0.6401,0.6691,7.0,-6.575599999999999,0.07485,0.06226600000000001,0.000592401,0.09956000000000001,0.4833,103.41459999999998,3.4092266666666666,360196627.8,19.702160628641206
1874,Trueno,10,8,0.7171000000000001,0.6910999999999999,3.4,-5.1849,0.14838,0.52879,6.7222e-05,0.18771,0.6303,111.49679999999998,3.2770099999999998,120429773.0,18.60657734432249
1875,Tulsi Kumar,8,7,0.62725,0.7648749999999999,6.75,-4.957500000000001,0.057999999999999996,0.3959375,3.94425e-05,0.1836875,0.6299999999999999,96.936875,3.916970833333333,48513327.625,17.69734911454985
